feature,importance,is_synthetic_ai_field
OverTime_Flag,0.09004,False
BusinessTravel_Travel_Frequently,0.0303,False
StockOptionLevel,0.02598,False
MaritalStatus_Single,0.02396,False
JobSatisfaction,0.02306,False
TrainingTimesLastYear,0.01939,False
MonthlyIncome,0.0184,False
EnvironmentSatisfaction,0.01261,False
Department_Sales,0.00933,False
EducationField_Technical Degree,0.00888,False
JobInvolvement,0.00865,False
YearsSinceLastPromotion,0.0069,False
NumCompaniesWorked,0.0064,False
Department_Research & Development,0.0063,False
BusinessTravel_Travel_Rarely,0.00531,False
Gender_Male,0.00431,False
JobRole_Human Resources,0.00323,False
DistanceFromHome,0.00256,False
Age,0.002,False
belief_ai_job_displacement_norm,0.00171,True
PercentSalaryHike,0.00147,False
JobRole_Sales Representative,0.00088,False
MaritalStatus_Married,0.00083,False
PromotionStagnation,0.00056,False
ai_usage_frequency_norm,0.00019,True
JobRole_Sales Executive,0.00017,False
ai_reliance_norm,0.00017,True
JobRole_Manager,0.0,False
JobRole_Research Director,0.0,False
EducationField_Life Sciences,0.0,False
TenureRatio,-0.00015,False
change_passivity_norm,-0.00023,True
EducationField_Other,-0.00036,False
JobRole_Research Scientist,-0.00036,False
WorkLifeBalance,-0.00037,False
EducationField_Medical,-0.00038,False
JobRole_Manufacturing Director,-0.00067,False
EducationField_Marketing,-0.0009,False
agreement_employer_ai_actions_norm,-0.00166,True
ai_impact_human_connections_norm,-0.00183,True
YearsAtCompany,-0.00191,False
ai_guidance_seeking_norm,-0.00208,True
RelationshipSatisfaction,-0.00222,False
belief_automation_reduces_hiring_norm,-0.00265,True
employer_ai_guidance_adequacy_norm,-0.00359,True
TotalWorkingYears,-0.00374,False
remote_capable_norm,-0.00393,True
JobRole_Laboratory Technician,-0.00601,False
IncomePerYearWorked,-0.00894,False
