EmployeeNumber,risk_score,estimated_years_to_departure,risk_tier,urgency
1,0.6242845,31.0,High,Longer-horizon or stable
2,0.03233293,,Low,Longer-horizon or stable
4,0.8599372,31.0,High,Longer-horizon or stable
5,0.15737723,,Low,Longer-horizon or stable
7,0.26531976,,Low,Longer-horizon or stable
8,0.06652803,,Low,Longer-horizon or stable
10,0.12304541,,Low,Longer-horizon or stable
11,0.15196054,,Low,Longer-horizon or stable
12,0.14346622,,Low,Longer-horizon or stable
13,0.10518789,,Low,Longer-horizon or stable
14,0.017648118,,Low,Longer-horizon or stable
15,0.140723,,Low,Longer-horizon or stable
16,0.10489513,,Low,Longer-horizon or stable
18,0.061164927,,Low,Longer-horizon or stable
19,0.9616646,9.0,High,Longer-horizon or stable
20,0.06766016,,Low,Longer-horizon or stable
21,0.020062821,,Low,Longer-horizon or stable
22,0.28872147,7.0,Low,Longer-horizon or stable
23,0.05990926,,Low,Longer-horizon or stable
24,0.06827472,32.0,Low,Longer-horizon or stable
26,0.005811462,,Low,Longer-horizon or stable
27,0.53034455,32.0,Medium,Longer-horizon or stable
28,0.05846459,,Low,Longer-horizon or stable
30,0.0664695,5.0,Low,Longer-horizon or stable
31,0.22192155,,Low,Longer-horizon or stable
32,0.011467191,,Low,Longer-horizon or stable
33,0.7250828,23.0,High,Longer-horizon or stable
35,0.10097078,,Low,Longer-horizon or stable
36,0.031336535,,Low,Longer-horizon or stable
38,0.050076593,,Low,Longer-horizon or stable
39,0.103510216,,Low,Longer-horizon or stable
40,0.01037032,,Low,Longer-horizon or stable
41,0.11912129,,Low,Longer-horizon or stable
42,0.037798986,,Low,Longer-horizon or stable
45,0.53151643,18.0,Medium,Longer-horizon or stable
46,0.003306078,,Low,Longer-horizon or stable
47,0.7415153,,High,Longer-horizon or stable
49,0.1127638,32.0,Low,Longer-horizon or stable
51,0.21558563,,Low,Longer-horizon or stable
52,0.06086173,,Low,Longer-horizon or stable
53,0.076163135,23.0,Low,Longer-horizon or stable
54,0.021991419,23.0,Low,Longer-horizon or stable
55,0.97385037,6.0,High,Longer-horizon or stable
56,0.2588332,,Low,Longer-horizon or stable
57,0.022736693,,Low,Longer-horizon or stable
58,0.49565208,,Medium,Longer-horizon or stable
60,0.24285455,,Low,Longer-horizon or stable
61,0.26556623,,Low,Longer-horizon or stable
62,0.2975721,32.0,Low,Longer-horizon or stable
63,0.055112984,32.0,Low,Longer-horizon or stable
64,0.6293285,31.0,High,Longer-horizon or stable
65,0.8832269,10.0,High,Longer-horizon or stable
68,0.1899714,,Low,Longer-horizon or stable
